[[0.09, 0.05, 0.13, 0.015], [49, 50]]
[[0.11, 0.02, 0.115, 0.035], [46, 53]]
[[0.08, 0.05, 0.145, 0.025], [43, 56]]
[[0.095, 0.04, 0.115, 0.08], [40, 59]]
[[0.08, 0.065, 0.1, 0.055], [48, 51]]
[[0.11, 0.085, 0.07, 0.085], [55, 44]]
[[0.06, 0.095, 0.1, 0.065], [48, 51]]
[[0.1, 0.09, 0.16, 0.07], [45, 54]]
[[0.125, 0.1, 0.2, 0.04], [48, 51]]
[[0.14, 0.075, 0.16, 0.055], [50, 49]]
[[0.0, 0.0, 0.0, 0.0], [50, 50]]
[[0.005, 0.01, 0.01, 0.01], [42, 57]]
[[0.02, 0.0, 0.015, 0.02], [36, 63]]
[[0.0, 0.03, 0.02, 0.02], [42, 57]]
[[0.015, 0.005, 0.01, 0.015], [44, 55]]
[[0.005, 0.0, 0.02, 0.025], [10, 90]]
[[0.035, 0.0, 0.015, 0.04], [38, 61]]
[[0.015, 0.02, 0.015, 0.005], [63, 36]]
[[0.0, 0.035, 0.015, 0.015], [53, 46]]
[[0.01, 0.05, 0.02, 0.0], [75, 25]]
[[0.0, 0.11, 0.04, 0.015], [66, 33]]
[[0.015, 0.14, 0.05, 0.025], [67, 32]]
[[0.015, 0.13, 0.07, 0.0], [67, 32]]
[[0.015, 0.14, 0.065, 0.025], [63, 36]]
[[0.0, 0.13, 0.07, 0.0], [65, 35]]
[[0.005, 0.15, 0.065, 0.01], [67, 32]]
[[0.015, 0.145, 0.06, 0.0], [72, 27]]
[[0.015, 0.15, 0.055, 0.01], [71, 28]]
[[0.045, 0.15, 0.07, 0.02], [68, 31]]
[[0.095, 0.14, 0.07, 0.015], [73, 26]]
[[0.12, 0.15, 0.065, 0.02], [76, 23]]
[[0.085, 0.16, 0.1, 0.0], [71, 28]]
[[0.095, 0.165, 0.125, 0.02], [64, 35]]
[[0.09, 0.15, 0.14, 0.01], [61, 38]]
[[0.0, 0.0, 0.0, 0.0], [50, 50]]
[[0.01, 0.01, 0.025, 0.025], [28, 71]]
[[0.055, 0.005, 0.01, 0.045], [52, 47]]
[[0.01, 0.03, 0.005, 0.005], [80, 20]]
[[0.02, 0.03, 0.03, 0.015], [52, 47]]
[[0.04, 0.01, 0.02, 0.01], [62, 37]]
[[0.07, 0.025, 0.06, 0.015], [55, 44]]
[[0.09, 0.005, 0.02, 0.025], [67, 32]]
[[0.09, 0.04, 0.045, 0.005], [72, 27]]
[[0.04, 0.035, 0.045, 0.025], [51, 48]]
